,genes,rxns,gene_name,mutant_model
0,b1539,ATHRDHr;DSERDHr;LSERDHr,ydfG,True
1,b3553,2DGULRGx;2DGULRGy;2DGULRx;2DGULRy;DKGLCNR2x;DKGLCNR2y,ghrB,True
3,b0312,BETALDHx;BETALDHy,betB,True
4,b1093,3OAR100;3OAR120;3OAR121;3OAR140;3OAR141;3OAR160;3OAR161;3OAR180;3OAR181;3OAR40;3OAR60;3OAR80;OGMEACPR;OPMEACPR,fabG,False
6,b4266,5DGLCNR,idnO,True
7,b1444,ABUTD,patD,True
8,b2794,CDGR,queF,True
10,b2600,PPND,tyrA,True
14,b2542,CINNDO;PPPNDO,hcaD,True
15,b3958,AGPR,argC,True
18,b0116,AKGDH;GLYCL;PDH,lpd,True
19,b0356,ALCD19;FALDH2,frmA,True
20,b1385,ALDD19xr,feaB,True
21,b1300,ALDD2x;GGGABADr,puuC,True
23,b3945,ALR4x;APPLDHr;GLYCDx;LALDO2x,gldA,True
25,b3575,DOGULNR,yiaK,True
26,b3774,KARA1;KARA2,ilvC,True
27,b0414,APRAUR,ribD,True
28,b2147,DURADx,preA,False
29,b2146,DURADx,preT,True
30,b0596,DHBD,entA,True
31,b2541,DHCIND;DHPPD,hcaB,True
32,b0173,DXPRIi,dxr,True
33,b0031,DHDPRy,dapB,True
34,b1606,DHMPTR,folM,False
35,b1779,GAPD,gapA,True
36,b1288,EAR100x;EAR100y;EAR120x;EAR120y;EAR121x;EAR121y;EAR140x;EAR140y;EAR141x;EAR141y;EAR160x;EAR160y;EAR161x;EAR161y;EAR180x;EAR180y;EAR181x;EAR181y;EAR40x;EAR40y;EAR60x;EAR60y;EGMEACPR;EAR80x;EAR80y;EPMEACPR,fabI,False
37,b3433,ASAD,asd,True
39,b1415,GCALDD;LCADi,aldA,True
40,b2052,GOFUCR,wcaG,True
41,b3882,GHBDHx,yihU,True
42,b3844,FLVRx;FADRx,fre,True
43,b2763,FADRx2;SULR,cysI,False
44,b2764,FADRx2;SULR,cysJ,True
45,b2799,LCARS,fucO,True
46,b2091,GLTPD,gatD,True
48,b1761,GLUDy,gdhA,True
49,b3213,GLUSy,gltD,True
50,b3212,GLUSy,gltB,False
51,b1210,GLUTRR,hemA,False
52,b3600,M1PD,mtlD,True
53,b1800,MALDDH,dmlA,True
57,b4323,MANAO,uxuB,True
58,b0104,GMPR,guaC,True
59,b2029,GND,gnd,True
60,b3924,FLDR2,fpr,False
61,b3236,MDH,mdh,True
62,b1479,ME1,maeA,True
63,b2463,ME2,maeB,True
64,b3500,GTHOr,gor,True
65,b1395,HADPCOADH3,paaH,True
67,b2020,HISTD,hisD,True
68,b0529,MTHFD,folD,True
69,b3941,MTHFR2,metF,True
72,b3608,G3PD2,gpsA,True
81,b2866,HXAND;XAND,xdhA,False
82,b0243,G5SD,proA,True
83,b2867,HXAND;XAND,xdhB,True
85,b1852,G6PDH2r,zwf,True
90,b4358,GALCTLO,lgoD,True
93,b1136,ICDHyr,icd,True
94,b4267,IDOND;IDOND2,idnD,True
97,b2508,IMPD,guaB,True
98,b0073,IPMD,leuB,True
99,b3366,NTRIR2x,nirD,False
100,b3365,NTRIR2x,nirB,True
102,b2705,SBTPD,srlD,True
103,b1746,SGSAD,astD,True
104,b1387,OXCOAHDH,paaZ,True
105,b3368,SHCHD2,cysG,True
106,b1014,P5CD,putA,True
107,b0386,P5CR,proC,True
113,b1525,SSALx,sad,True
116,b1521,TAGURr,uxaB,True
117,b0052,PDX5PS,pdxA,True
119,b2320,PERD,pdxB,True
120,b2040,TDPDRR,rfbD,True
121,b2913,PGCD,serA,True
122,b3616,THRD,tdh,True
127,b0888,TRDR,trxB,True
130,b3787,UACMAMO,wecC,True
131,b3972,UAPGR,murB,True
132,b2028,UDPGD,ugd,True
133,b2255,UDPGDC,arnA,True
134,b0517,URDGLYCD,allD,True
137,b1692,QUINDH,ydiB,True
