genes,rxns,gene_name
b1539,ATHRDHr;DSERDHr;LSERDHr,ydfG
b3553,2DGULRGx;2DGULRGy;2DGULRx;2DGULRy;DKGLCNR2x;DKGLCNR2y,ghrB
b0347,3HCINNMH;3HPPPNH,mhpA
b0312,BETALDHx;BETALDHy,betB
b1093,3OAR100;3OAR120;3OAR121;3OAR140;3OAR141;3OAR160;3OAR161;3OAR180;3OAR181;3OAR40;3OAR60;3OAR80;OGMEACPR;OPMEACPR,fabG
b3551,BSORx;BSORy,bisC
b4266,5DGLCNR,idnO
b1444,ABUTD,patD
b2794,CDGR,queF
b0311,CHOLD,betA
b2600,PPND,tyrA
b2539,CINNDO;PPPNDO,hcaF
b2538,CINNDO;PPPNDO,hcaE
b2540,CINNDO;PPPNDO,hcaC
b2542,CINNDO;PPPNDO,hcaD
b3958,AGPR,argC
b0727,AKGDH,sucB
b0726,AKGDH,sucA
b0116,AKGDH;GLYCL;PDH,lpd
b0356,ALCD19;FALDH2,frmA
b1385,ALDD19xr,feaB
b1300,ALDD2x;GGGABADr,puuC
b3588,ALDD2y;ALDD3y,aldB
b3945,ALR4x;APPLDHr;GLYCDx;LALDO2x,gldA
b3994,AMPMS2,thiC
b3575,DOGULNR,yiaK
b3774,KARA1;KARA2,ilvC
b0414,APRAUR,ribD
b2147,DURADx,preA
b2146,DURADx,preT
b0596,DHBD,entA
b2541,DHCIND;DHPPD,hcaB
b0173,DXPRIi,dxr
b0031,DHDPRy,dapB
b1606,DHMPTR,folM
b1779,GAPD,gapA
b1288,EAR100x;EAR100y;EAR120x;EAR120y;EAR121x;EAR121y;EAR140x;EAR140y;EAR141x;EAR141y;EAR160x;EAR160y;EAR161x;EAR161y;EAR180x;EAR180y;EAR181x;EAR181y;EAR40x;EAR40y;EAR60x;EAR60y;EGMEACPR;EAR80x;EAR80y;EPMEACPR,fabI
b3433,ASAD,asd
b0029,DMPPS;IPDPS,ispH
b1415,GCALDD;LCADi,aldA
b2052,GOFUCR,wcaG
b3882,GHBDHx,yihU
b3844,FLVRx;FADRx,fre
b2763,FADRx2;SULR,cysI
b2764,FADRx2;SULR,cysJ
b2799,LCARS,fucO
b2091,GLTPD,gatD
b0628,LIPOS,lipA
b1761,GLUDy,gdhA
b3213,GLUSy,gltD
b3212,GLUSy,gltB
b1210,GLUTRR,hemA
b3600,M1PD,mtlD
b1800,MALDDH,dmlA
b2903,GLYCL,gcvP
b2904,GLYCL,gcvH
b2905,GLYCL,gcvT
b4323,MANAO,uxuB
b0104,GMPR,guaC
b2029,GND,gnd
b3924,FLDR2,fpr
b3236,MDH,mdh
b1479,ME1,maeA
b2463,ME2,maeB
b3500,GTHOr,gor
b1395,HADPCOADH3,paaH
b0784,MOADSUx,moaD
b2020,HISTD,hisD
b0529,MTHFD,folD
b3941,MTHFR2,metF
b1109,NADH10;NADH5;NADH9,ndh
b2288,NADH16pp;NADH17pp;NADH18pp,nuoA
b3608,G3PD2,gpsA
b2278,NADH16pp;NADH17pp;NADH18pp,nuoL
b2277,NADH16pp;NADH17pp;NADH18pp,nuoM
b2287,NADH16pp;NADH17pp;NADH18pp,nuoB
b2284,NADH16pp;NADH17pp;NADH18pp,nuoF
b2282,NADH16pp;NADH17pp;NADH18pp,nuoH
b2868,HXAND;XAND,xdhC
b2286,NADH16pp;NADH17pp;NADH18pp,nuoC
b2279,NADH16pp;NADH17pp;NADH18pp,nuoK
b2866,HXAND;XAND,xdhA
b0243,G5SD,proA
b2867,HXAND;XAND,xdhB
b2280,NADH16pp;NADH17pp;NADH18pp,nuoJ
b1852,G6PDH2r,zwf
b2276,NADH16pp;NADH17pp;NADH18pp,nuoN
b2283,NADH16pp;NADH17pp;NADH18pp,nuoG
b2285,NADH16pp;NADH17pp;NADH18pp,nuoE
b2281,NADH16pp;NADH17pp;NADH18pp,nuoI
b4358,GALCTLO,lgoD
b2530,MOADSUx;THZPSN3,iscS
b3028,NADPHQR2;NADPHQR3;NADPHQR4,mdaB
b1136,ICDHyr,icd
b4267,IDOND;IDOND2,idnD
b2710,NHFRBO,norV
b2711,NHFRBO,norW
b2508,IMPD,guaB
b0073,IPMD,leuB
b3366,NTRIR2x,nirD
b3365,NTRIR2x,nirB
b2552,NODOx;NODOy,hmp
b2705,SBTPD,srlD
b1746,SGSAD,astD
b1387,OXCOAHDH,paaZ
b3368,SHCHD2,cysG
b1014,P5CD,putA
b0386,P5CR,proC
b1388,PACCOAE,paaA
b1389,PACCOAE,paaB
b1392,PACCOAE,paaE
b1390,PACCOAE,paaC
b1391,PACCOAE,paaD
b1525,SSALx,sad
b0115,PDH,aceF
b0114,PDH,aceE
b1521,TAGURr,uxaB
b0052,PDX5PS,pdxA
b2564,PDX5PS,pdxJ
b2320,PERD,pdxB
b2040,TDPDRR,rfbD
b2913,PGCD,serA
b3616,THRD,tdh
b3992,THZPSN3,thiF
b3990,THZPSN3,thiH
b0423,THZPSN3,thiI
b4407,THZPSN3,thiS
b0888,TRDR,trxB
b1010,POAACR,rutC
b3991,TYRL,thiG
b3787,UACMAMO,wecC
b3972,UAPGR,murB
b2028,UDPGD,ugd
b2255,UDPGDC,arnA
b0517,URDGLYCD,allD
b1012,PYROX,rutA
b1007,PYROX,rutF
b1692,QUINDH,ydiB
