gene,gene_name,growth_rate,rel_growth_rate
b4266,idnO,1.1404221658377893,1.3608889702588787
b1444,patD,0.8379957763835162,0.9999974074215453
b3958,argC,0.8385106190778261,1.000611779682181
b0116,lpd,0.8449527873824008,1.008299350173944
b0356,frmA,0.837988495681884,0.9999887192121754
b1385,feaB,0.8379979489589788,1.000000000000042
b1300,puuC,1.1404056965314306,1.3608693171005635
b3945,gldA,1.1404221658377902,1.3608889702588798
b0414,ribD,0.837998673153306,1.0000008641958649
b3433,asd,0.8388132202377804,1.0009728798022113
b1539,ydfG,0.8379999200533778,1.0000023521470864
b0312,betB,1.1404221658378306,1.360888970258928
b2794,queF,0.8379865463108868,0.999986392988108
b2542,hcaD,0.8379865463108868,0.999986392988108
b0596,entA,0.8379990352509332,1.0000012962943297
b2541,hcaB,0.8379999200533769,1.0000023521470853
b0031,dapB,0.8385622854184138,1.0006734341774597
b3553,ghrB,1.140422165837836,1.3608889702589344
b3575,yiaK,0.8379979489589438,1.0
b2146,preT,0.8379999200533725,1.0000023521470802
b0173,dxr,0.8380106792021302,1.0000151912581676
b3844,fre,0.8349024037361908,0.9963060229125876
b2764,cysJ,0.8379979489589439,1.0000000000000002
b3608,gpsA,0.837930942765394,0.9999200401461209
b0243,proA,0.837988690479769,0.9999889516684543
b1852,zwf,0.8231833402545893,0.9823214260574756
b4358,lgoD,0.8379999200534086,1.000002352147123
b1779,gapA,0.8583013795158216,1.024228496718997
b1415,aldA,0.8379993973488764,1.0000017283931715
b3882,yihU,0.837992744876507,0.9999937898625608
b2091,gatD,0.8379865463108547,0.9999863929880697
b1761,gdhA,1.1404221658377913,1.3608889702588811
b3213,gltD,0.8407660965880202,1.003303286878584
b0104,guaC,0.8402565184046038,1.0026951968658944
b2029,gnd,0.8231818587976116,0.9823196582047267
b2052,wcaG,0.8379979489589771,1.0000000000000397
b3500,gor,0.8384809650007188,1.0005763928687117
b1395,paaH,0.8379999200533776,1.0000023521470862
b2020,hisD,0.838297008001912,1.0003568732397732
b2867,xdhB,0.8379972247659024,0.9999991358057114
b1136,icd,0.83895538593187,1.0011425290170646
b4267,idnD,1.1404221658377895,1.360888970258879
b2508,guaB,0.8383656364806399,1.0004387689995577
b0073,leuB,0.8386867242606408,1.0008219295793657
b3774,ilvC,0.8397956165714343,1.0021451933321839
b2799,fucO,0.8379999200534157,1.0000023521471317
b3600,mtlD,0.8379979489589776,1.0000000000000404
b1800,dmlA,0.8379979489589725,1.0000000000000344
b4323,uxuB,0.8379979489589796,1.0000000000000429
b3236,mdh,1.1404221658377898,1.3608889702588791
b1479,maeA,0.8340945209935315,0.9953419600009028
b2463,maeB,0.8396002318963273,1.0019120368246415
b0529,folD,0.8425635306354898,1.0054482014928772
b3941,metF,0.8377416887581198,0.9996941994892203
b3365,nirB,10.083812181608703,12.033218212688897
b1387,paaZ,0.8379884808772061,0.999988701545452
b1014,putA,0.8376443754380917,0.9995780735247726
b0386,proC,1.1404221658378346,1.3608889702589326
b0052,pdxA,0.8379983110559539,1.0000004320977285
b2320,pdxB,0.8379990444562722,1.0000013072792477
b2913,serA,0.8411416139646951,1.0037513994033718
b2600,tyrA,0.8382159392412547,1.0002601322384879
b1692,ydiB,0.8379979489589451,1.0000000000000016
b2705,srlD,0.837988480877244,0.9999887015454971
b1746,astD,0.837999920053378,1.0000023521470867
b3368,cysG,0.8379983110559811,1.000000432097761
b1525,sad,0.8379999200534106,1.0000023521471255
b1521,uxaB,0.8379865463108874,0.9999863929881088
b2040,rfbD,0.838001470866767,1.0000042027642522
b3616,tdh,0.8371421370600688,0.9989787422511736
b0888,trxB,0.8384809650007131,1.000576392868705
b3787,wecC,0.8379979489589439,1.0000000000000002
b3972,murB,0.8380447007794192,1.0000557898984521
b2028,ugd,0.8379979489589439,1.0000000000000002
b2255,arnA,0.8379887311906448,0.9999890002495705
b0517,allD,0.8379979489589735,1.0000000000000355
